og_representation,mapping,confusion,frequency
ऊषा,Usha,,139
ऑवलखेडा,Oval kheda,y,139
कान्हाधाम,Kanha dham,,139
खेतख्सरा,Khetkhsra,,139
दर्ज,Darj,,139
पुरागोवर्धन,Pura Govardhan,y,139
फोर,For,y,139
बजहेरा,Bajhera,,139
सेक्‍टर,Sector,,139
आदर्श,Aadarsh,,138
गायत्री,Gayatri,,138
डब्‍लू,W,,138
डिवाइन,Divine,,138
धारा,Dhara,,138
पदी,Padi,,138
प्रताप,Pratap,,138
सि,C,Y,138
स्‍टेट,State,,138
हरेकृष्णधाम,Hare krishna dham,,138
रकब,area,,137
सैन्टपॉल्स,Saintpols,y,137
नन्दलालपुर,Nandlalpur,,136
इसमे,Isme,,135
गुरू,Guru,,135
गोलोकधाम,Golok dham,,135
टीला,Teela,,135
तनिष्क,Tanishk,,135
मजिला,Majila,,135
मुहाल,Muhal,,135
शीतल,Sheetal,,135
अकोला,Akola,,134
पूनम,Poonam,,134
बीएचके,BHK,,134
सत्यम,Satyam,,134
सौन्दर्यम,Saundaryam,,134
उक्त,Ukt,,133
चाँदनी,Chandani,,133
छ,Ch,,133
धाऊ,Dhau,y,133
बराबर,Barabar,,133
माया,Maya,,133
राधारानी,Radharani,,133
सेवला,Sevla,,133
अनुसार,Anusar,,132
अभयपुरा,Abhaypura,,132
तामिरात,Tamirat,,132
द्वारिकापुरी,Dwarikapuri,,132
प्रतिशत,Pratishat,,132
फोर्थ,4th,,132
बिला,Bila,,132
ब्‍लाक,Block,,132
भगवान,Bhagvan,,132
व्लाक,Block,y,132
आयतों,Aayto,y,131
आश्रयहीन,Aashrayhin,,131
खन्दौली,Khandauli,,131
दौरेठा,Dauretha,,131
नाम,Nam,,131
शाहदरा,Shahadara,,131
अकृषक,Akrushak,,130
गणेशपुरम,Ganeshpuram,,130
गण्ेश,,Y,130
जखौदा,Jakhauda,,130
नही,Nahi,,130
ललिता,Lalita,,130
आर्य,Aary,,129
केशोपुर,Keshopur,,129
चौडाई,Chaudai,y,129
राधाकुंज,Radhakunj,,129
वसुधा,Vasudha,,129
कली,Kali,,128
कालोंनी,Colony,,128
किताप्लाट,Kita plot,y,128
माधव,Madhav,,128
समिति,Samiti,,128
ए०,,Y,127
दयाल,Dayal,,127
पं,Pan,y,127
बरारा,Barara,,127
मेंप्रथमपक्ष,Main pratham paksh,y,127
राधापुरम,Radhapuram,,127
शिवनगर,Shiv nagar,,127
सतौली,Satauli,,127
सुरहरा,Surhara,,127
हुए,Hue,y,127
अराजी,Araji,,126
गोदावरी,Godavari,,126
मऊ,Mau,,126
मानवेन्द्र,Manvendra,,126
सिकंदरा,Sikandara,,126
उ,U,,125
एटरनिटी,Eternity,,125
चमरौली,Chamrauli,,125
चैतन्य,Chaitanya,,125
भग,Bhag,,125
श्रीनाथपुरम,Shri nath puram,y,125
सांईधाम,Saidham,,125
हर्ष,Harsh,,125
अभैदोपुरा,Abhaidopura,,124
अंसल,Ansal,,124
किशोरी,Kishori,,124
झीना,Zeena,,124
ध्रुव,Dhruv,,124
निजी,Niji,,124
लक्ष्मीपुरम,Lakshmipuram,,124
शहर,Shahar,,124
स्कूल,School,,124
हाईवे,Highway,,124
है़०,Hectare,Y,124
अभुआपुरा,Abhuaapura,Y,123
ऐरिया,Area,,123
किशन,Kishan,,123
कुटीर,Kuteer,,123
कुलक्षैत्रफल,Kul Kshaitrafal,,123
तैशुदा,Taishuda,,123
सनराइज,Sunrise,,123
हैै,Hai,,123
काश्त,Kasht,,122
कोटेज,Cottage,,122
टेडी,Tedi,y,122
शिवाजी,Shivaji,,122
समकक्ष,Samkaksh,,122
द्वद्तिीय,,y,121
अर्जुन,Arjun,,120
इ,E,y,120
छटीकरा,Chatikara,,120
बृजराजधाम,Bruj rajdham,,120
डिसमिल,Dismil,y,119
प्रोजेक्ट,Project,,119
बाॅकै,Bokai,y,119
वतरफ,Vatraf,,119
सौख,Saukh,,119
एम०आई०जी०,,Y,118
ख्,,Y,118
जयपुरिया,Jaypuriya,,118
त,T,,118
त०,,y,118
नरायन,Narayan,,118
भुखण्ड,Bhukhand,,118
सेन्टर,Center,,118
सौहल्ला,Sauhalla,,118
किशनलाल,Kishanlal,,117
पंचवटी,Panchvati,,117
पाॅकेट,Pocket,,117
मेप्रथमपक्षका,Me pratham pakshka,y,117
स्टेडियम,Stadium,,117
चन्दन,Chandan,,116
तल‚,"Tal,",y,116
अजनाम,Ajnam,,115
कॉर्पोरेट,Corporate,,115
खरा,Khara,,115
चन्द्र,Chandra,,115
बुलन्द,Buland,,115
बैधानिक,Baidhanik,,115
वहिस्सा,Vahissa,,115
हिमगिरी,Himgiri,,115
कृपाधाम,Krupa dham,,114
रकवाभूमिमुक्ति,area,y,114
रजरई,Rajaree,y,114
आदिकुल,Adikul,,113
गोपालपुरा,Gopalpura,,113
तोरा,Tora,,113
नगरी,Nagari,,113
स्काई,Sky,y,113
स्‍टे,Stay,y,113
उपाध्याय,Upadhyay,,112
एन्थम,Anthem,,112
एमआईजी,MIG,,112
कका,Kaka,,112
कुन्‍ज,Kunj,,112
कैला,Kaila,,112
मुरलीधर,Murlidhar,,112
शहीद,Shahid,,112
एक्सटेशन,Extension,,111
ज्ञान,Dnyan,y,111
नागल,Nagal,,111
फार्मस,Farms,,111
भरतपुर,Bharatpur,,111
हेतु,Hetu,,111
है०का,Hectare,y,111
डेवर्ल्पस,Developers,,110
दीप,Deep,,110
भोलाधाम,Bhola dham,,110
राधेश्याम,Radhe shyam,,110
सोसायटी,Society,,110
ी,,y,110
ु,,y,110
गुड,Gud,,109
नीलकंठधाम,Neelkanth dham,,109
फाईव,5,,109
रहे,Rahe,,109
रिहायशी,Rihayashi,,109
रेलवे,Railway,,109
श्रीराधाकृष्ण,Shri radhakrishna,,109
ऐवेन्यू,Avenue,,108
कोठी,Kothi,,108
गांव,Gaon,y,108
ग्रेस,Grace,,108
दहतौरा,Dahtaura,,108
पा,Pa,,108
व्दितीय,Vditiy,,108
हरीपर्वत‚,"Hari parvat,",,108
खातान०,Khata no,y,107
गिर्राजधाम,Girraj dham,,107
गुरुकृपा,Guru krup,,107
दुर्गेधाम,Durge dham,,107
सुभाष,Subhash,,107
अंतर्गत,Antargat,,106
फतेहाबाद,Fatehabad,,106
ममी,Mami,y,106
मिढाकुर,Midhakur,,106
अलबतिया,Albatiya,,105
आनन्दवन,Anandvan,,105
कोलोनी,Colony,,105
क्षेत्र०,Area,Y,105
छठवां,6th,,105
नंं,no,y,105
रकवायोग,area,,105
सम्पति,Sampati,,105
सहित,Sahit,,105
स्टूडियो,Studio,,105
कॉलौनी‚,"Colony,",y,104
द्वारकेश,Dwarkesh,,104
बिल्डअप,Build up,y,104
भगवत,Bhagvat,,104
श्रीकृष्णधाम,Shri krishna dham,y,104
कुण्डौल,Kundaul,,103
खेतखसरानं,Khetkhasran,y,103
गार्डनिया,Gardeniya,y,103
देा,,y,103
द्वतीयतल,Dvatiytal,,103
धन्नापुर,Dhannapur,,103
मंगलम,Mangalam,,103
स्ं,no,Y,103
अर्थात,Arthat,,102
कमल,Kamal,,102
गोविन्दधाम,Govind dham,,102
चमेली,Chameli,,102
तीनो,Teeno,,102
दानशुदा,Danshuda,,102
दि्वतीय,Dvitiy,y,102
द्धितीय,Ddhitiy,y,102
नियर,Near,,102
पैराडाईज,Paradise,,102
बगदा,Bagda,,102
मनीषपुरम,Manishpuram,,102
महाराम,Maharam,,102
मुस्‍तकिल,Mustkil,,102
लम्बाई,Lambai,,102
हज्‍जाम,Hajjam,,102
क्वाटर,Quarter,,101
रतन,Ratan,,101
राधाकृष्णधाम,Radhakrishna dham,,101
एवेन्यु,Avenue,,100
एसयूटी,SUT,,100
ख़ाता,Khata,,100
गणेशकुंज,Ganeshkunj,,100
जु,Ju,,100
पी०पी०,,y,100
पैराडाइज,Paradise,,100
मंजेश,Manjesh,,100
वर्गी,square meter,,100
विजय,Vijay,,100
विहारी,Vihari,,100
ई०डब्ल्यू०एस०,,Y,99
एकउ,Eku,Y,99
नन्दनी,Nandni,,99
सूर्य,Sury,,99
हरीधाम,Hari dham,,99
एक्सपेंशन,Expansion,y,98
गंगाराम,Gangaram,,98
जहॉगीरपुर,Jahagirpur,y,98
बनाहै,Banahai,,98
मदन,Madan,,98
म्युनिसिपल,Municipal,,98
ंसे,,y,98
अश,Ash,,97
कालाैनी,Colony,,97
गिरधरकुंज,Girdharkunj,,97
टीन,Tin,,97
भक्ति,Bhakti,,97
भ्ूतल,,y,97
शाक्तिधाम,Shakti dham,,97
स्कीम,Scheme,,97
अधोतल,Adhotal,,96
ऍफ़,F,,96
किशोरीकुंज,Kishorikunj,,96
गोकुलधाम,Gokuldham,,96
ग्राउन्ड,Ground,,96
डिफेन्स,Defence,,96
नीलगिरी,Neelgiri,,96
पुष्पाजंलि,Pushpajanli,y,96
बसन्तकुंज,Basantkunj,,96
वसुन्धरा,Vasundhara,,96
विलास,Vilas,,96
साईड,Side,,96
सुन्दर,Sundar,,96
अवि,Avi,,95
कारपोरेशन,Corporation,,95
चावली,Chavli,,95
दरवाजा,Darvaja,,95
प्राइड,Pride,,95
प्ला,Pla,,95
बाई,Bai,,95
बैक,Baik,y,95
मितावली,Mitavali,,95
रोड‚,"Road,",y,95
श्यामकुंज,Shyamkunj,,95
अपार्टमेन्ट‚,"Apartment,",,94
कन्हैयाकुंज,Kanhaiyakunj,,94
गंगाधाम,Ganga dham,,94
गामरी,Gamri,,94
डव्लू,W,,94
मेें,Main,y,94
कृषिभूमि,Agricultural land,,93
चन्द्रभान,Chandrabhan,,93
जय,Jay,,93
प्लाटजमीन,Plot jameen,y,93
लिंक,Link,,93
वाला,Vala,,93
सरोज,Saroj,,93
सी‚,"C,",y,93
होटल,Hotel,,93
कन्हैया,Kanhaiya,,92
कोतवाली,Kotvali,,92
ट,T,y,92
तरंग,Tarang,,92
प्लोट,Plot,,92
मनी,Mani,,92
रूकमणी,Rukmani,,92
सत्‍ता,Satta,,92
कता,Khata,,91
कालाेनी,Colony,,91
काॅलोनी,Colony,,91
खात,Khata,,91
ग्रुप,Group,,91
नीलकण्ठ,Neelkanth,,91
सीता,Seeta,,91
इकरार,Ikrar,,90
कोटली,Kotli,,90
जेा,,y,90
धाऊगुलाब,Dhaugulab,y,90
पुरी,Puri,,90
पैमाइश,Paimaish,,90
भूमी,land,,90
शान्ति,Shanti,,90
आनन्दम,Anandam,,89
कल्याण,Kalyan,,89
काविक्रय,Kavikray,,89
जुजभाग,Jujbhag,,89
बहुमंजिला,Bahu manjila,,89
लडामदा,Ladamada,,89
शमशाबाद,Shamshabad,,89
श्यामो,Shyamo,,89
कादम्बरी,Kadambari,,88
कोठरी,Kothari,,88
बैकुण्ठबिहार,Baikunth bihar,,88
भगवतीपुरम,Bhagvatipuram,,88
मायापुरी,Mayapuri,,88
मारूति,Maruti,,88
अचलू,Achalu,,87
आशापुरम,Ashapuram,,87
ओर्चिड,Orchid,,87
बाकलपुर,Bakalpur,,87
भोले,Bhole,,87
मुझ,Mujh,,87
रामवीर,Ramveer,,87
रूम,Room,,87
रेवती,Revti,,87
वर्गमीप्लाटन,square meter plot number,y,87
श्रीकृष्णाधाम,Shri krishna dham,y,87
इन्द्रप्रस्थ,Indraprasth,,86
कीर्ति,Kirti,,86
कुकथला,Kukthala,,86
चौराहा,Chauraha,,86
जारूआ,Jaruaa,y,86
तीनों,Teeno,y,86
प्लाटनम्बर,Plot number,y,86
बल्केश्वर,Baleshravar,y,86
शिवा,Shiva,,86
श्रीनाथ,Shri nath,,86
सत्यनगर,Satya nagar,,86
सोयम,Soyam,,86
अावासीय,Aavasiy,,85
आजाद,Aajad,,85
आदिरकवा,Adirakva,,85
कोई,Koi,,85
खतैना,Khataina,,85
टै,Tai,,85
नम्‍वर,no,,85
निखिल,Nikhil,,85
मुकन्द,Mukund,,85
सुदा,Suda,,85
सौ,Hundred,y,85
्,,y,85
एत्‍मादपुर,Atmadpur,,84
क्ष,Area,,84
छत्ता,Chatta,,84
डिफैन्स,Defence,,84
नाथ,Nath,,84
पं०,,Y,84
परिवहन,Parivahan,,84
पवनपुरी,Pavanpuri,,84
पवनवन,Pavanvan,,84
पुष्पांजलि,Pushpanjali,,84
भक्तिधाम,Bhakti dham,,84
मशहूर,Mashhoor,,84
मेवाती,Mevati,,84
सुरक्षा,Suraksha,,84
टेढी,Tedhi,,83
दहतोरा‚,"Dahtora,",y,83
नामा,Nama,,83
बिस्वा,Bisva,,83
बैंक,Bank,,83
रबा,Raba,,83
राधासिटी,Radha city,y,83
लोहामण्‍डी,Lohamandi,,83
सुदामापुरी,Sudamapuri,,83
ासं,No,y,83
ऑर्चिड,Orchid,,82
कलाल,Kalal,,82
कैलाधाम,Kaila dham,,82
जैंत,Jaint,,82
दसवां,10th,y,82
पालीखेडा,Palikheda,,82
फल्ैट,Flat,y,82
मघटई,Maghatai,y,82
मानचित्र,Manchitra,,82
लोहामंडी,Lohamandi,,82
आस्थापुरी,Aasthapuri,,81
इन्द्रा,Indra,,81
काॅलौनी,Colony,,81
खता,Khata,,81
घाट,Ghat,,81
धौरऊ,Dhaurau,y,81
नालन्दा,Nalanda,,81
निरालाबाद,Niralabad,,81
फुटा,Foot,,81
बांईपुर,Banaipur,y,81
भगवतकुंज,Bhagvatkunj,,81
रामधाम,Ram dham,,81
लॉयर्स,Lawyers,,81
लोधे,Lodhe,,81
सः,Sah,y,81
सेे,Se,,81
अवासीय,Avasiy,,80
कायम,Kayam,,80
खासरा,Khasra,,80
चौथा,4th,y,80
देवरी,Devri,,80
रामवन,Ramvan,,80
लालऊ,Lalau,y,80
हैक्,Hack,y,80
आर०एस०,,y,79
उदय,Uday,,79
एफएफ,FF,,79
खाते,Khata no,,79
दुर्गाधाम,Durga dham,,79
पत्र,Patra,,79
पीछे,Peeche,,79
लोधई,Lodhai,y,79
किशोर,Kishor,,78
परमानन्द,Parmanand,,78
प्रस्तावित,Prastavit,,78
ब्रह्रापुरी,Brahrampuri,,78
ब्लाॅक,Block,,78
भूखण्ड‚,"Bhukhand,",y,78
मई,Mai,y,78
मौ०,,y,78
राजधाम,Raj dham,,78
राधावाटिका,Radha vatika,,78
ल,L,,78
शाहगंज,Shahganj,,78
सम्पुर्ण,Sampurn,,78
साई,Sai,,78
आंशिक,Aanshik,,77
एन्कलेब,Enclave,,77
गाटाओ,Gatao,y,77
जऊपुरा,Jaupura,y,77
जैन,Jain,,77
दाऊजीधाम,Dauji dham,,77
पाण्डव,Pandav,,77
फतेहपुर,Fatehpur,,77
बाजना,Bajna,,77
ब्रहमपुरी,Brahampuri,,77
शरणम,Sharanam,,77
सीरियल,Serial,,77
है०सम्पूर्ण,Hectare,y,77
अंगूरी,Anguri,,76
अन्‍तर्गत,Antargat,,76
अल्हैपुर,Alhaipur,,76
उसके,Uske,,76
जहाँगीरपुर,Jahangirpur,,76
नीलकंठ,Neelkanth,,76
पूवी,Puvi,,76
बतरफ,Bataraf,,76
रक,area,,76
रवका,Ravka,,76
सैंथिया,Sainthiya,,76
‚खसरा,",khasra",y,75
गिरिराज,Giriraj,,75
ग्यारहवां,11th,y,75
जेड,Jed,,75
नर्सरी,Nursery,,75
बरामदा,Baramat,,75
यातायात,Yatayat,,75
सामने,Samne,,75
एस०,,y,74
ओन,On,,74
दानसुदा,Dansuda,,74
नमक,no,,74
नरीपुरा,Naripura,,74
भी,Bhi,,74
राधिकाधाम,Radhika dham,,74
रेवतीपुरम,Revtipuram,,74
ऊपर,Upar,,73
एम्,M,y,73
एवेन्यू,Avenue,,73
जी०,G,y,73
नीरव,Neerav,,73
पालिका,Palika,,73
बिरजापुर,Birjapur,,73
भीमा,Bheema,,73
मसानी,Masani,,73
रोहता,Rohta,,73
वगम्ी,,Y,73
शक्तिपुरम,Shaktipuram,,73
अवशेष,Avshesh,,72
कालिन्द्रीकुंज,Kalindrikunj,,72
गंगापुरम,Gangapuram,,72
गनेशरा,Ganeshara,,72
तेहरा,Tehra,,72
दाे,2,y,72
पंचशील,Panchsheel,,72
पिनानी,Pinani,,72
वैधानिक,Vaidhanik,,72
शॉप,Shop,,72
हैरिटेज,Hectare,,72
अन्य,Anya,,71
अपर्णा,Aparna,,71
अपार्टमेन्‍ट,Apartment,,71
इसमें,Ismain,y,71
एन्‍क्‍लेव,Enclave,,71
काननवन,Kananvan,,71
कुबेरपुर,Kuberpur,,71
कोठा,Kotha,,71
गैरिज,Garage,y,71
जमीन‚,"Jameen,",,71
जाटवान,Jatvan,,71
प्लाटक्षे,Plot kshe,y,71
फ्रैण्डस,Friends,,71
रेणुका,Renuka,,71
विनोद,Vinod,,71
शंकरपुरम,Shankarpuram,,71
शोभा,Shobha,,71
श्‍याम,Shyam,,71
सप्तमतल,Saptamtal,,71
सिरौली,Sirauli,,71
है०अपने,Hectare,y,71
कृष्णापुरम,Krishnapuram,,70
कृष्णाभूमि,Krishna bhumi,,70
तनिष्‍क,Tanishk,,70
नुनिहाई,Nunihai,y,70
भदौरिया,Bhadauriy,,70
मनोज,Manoj,,70
महेश्वर,Maheshravar,y,70
मानसून,Monsoon,,70
मेे,Me,,70
श्रीधाम,Shree dham,,70
सप्तम,7th,y,70
सम्पूर्णअंश,Sampurn ansh,,70
सिक्स्थ,6th,,70
हैक्‍टेयर,Hectare,,70
इंच,Inch,,69
कषि,Kashi,,69
खॉ,Kho,y,69
गैलरी,Gallery,,69
टाऊनशिप,Township,,69
टैगोर,Taigor,,69
ठार,Thar,,69
ताल,Tal,,69
दसवांतल,Dasvantal,,69
दोमंजिला,Domanjila,,69
नवादा,Navada,,69
नैनापुरम,Nainapuram,,69
पू,Pu,,69
संपत्ति,Sampatti,,69
सिकन्दरपुर,Sikandarpur,,69
हैरीटेज,Hectare,,69
होली,Holi,,69
एफ़,F,,68
कृष्णपुरम,Krishnapuram,,68
खसरानम्बर,Khasra no,y,68
डी‚,"D,",,68
दौलतपुर,Daulatpur,,68
द्वारिकाधीश,Dwarikadhish,,68
न्‍यू,New,,68
पलाटसं,Plot number,y,68
बृजनगर,Bruj nagar,,68
बॉगर,Bogar,,68
मयूर,Mayur,,68
मीट,Meet,y,68
विष्णु,Vishnu,,68
शान्‍ती,Shanti,,68
श्रीपतिपुरम,Shripatipuram,,68
सारंग,Sarang,,68
सी०,,y,68
सैन्ट,Saint,,68
हरिधाम,Hari dham,,68
अमरपुरा,Amarpura,,67
अहारन,Aharan,,67
इन्‍क्‍लेव,Enclave,,67
ई०,,y,67
खडवाई,Khadvai,y,67
टीए,TA,,67
नाला,Nala,,67
नियत,Niyat,,67
फिलैैट,Flat,,67
भीम,Bheem,,67
भूतेश्वर,Bhuteshravar,y,67
भ्राग,Bhrag,,67
माधवपुरी,Madhavpuri,,67
मालियान,Maliyan,,67
मुकेश,Mukesh,,67
राघे,Raghe,,67
लगी,Lagi,,67
श्रीजीपुरम,Shrijipuram,,67
हुई,Hui,,67
आगे,Aage,,66
इम्लाक,Imlaq,y,66
कछपुरा,Kachpura,,66
गैर,Gair,,66
जिसके,Jiske,,66
दु,Du,,66
प्रगतिकुंज,Pragatikunj,,66
बाघर्रा,Bagharra,y,66
बिल्डिंग,Building,,66
बृजवासी,Brujvasi,,66
राया,Raya,,66
व‚,"V,",,66
विक्रेती,Vikreti,,66
विशाल,Vishal,,66
साउथ,South,,66
सिविल,Civil,,66
अपार्टमेण्ट,Apartment,,65
अब,Ab,,65
अवन्ती,Avanti,,65
आर०,,Y,65
ओमश्री,Om shree,,65
काभागरकबा,Kabhagarkaba,,65
कालैानी,Colony,,65
खसरां,Khasran,y,65
चन्दनवन,Chandanvan,,65
छठवांतल,Chatvantal,,65
टावर‚,"Tower,",,65
ताराधाम,Tara dham,,65
देदना,Dedana,,65
देवकी,Devaki,,65
द्क्षिण,Dakshin,y,65
परिक्रमा,Parikrama,,65
पांचवां,5th,y,65
बागकला,Bagkala,,65
भोगीपुरा‚,"Bhogipura,",,65
भोला,Bhola,,65
मुहम्मदपुर,Muhammadpur,,65
व्रह्रापुरी,Vrahrapuri,y,65
सूरज,Suraj,,65
सौंख,Saunkh,,65
अंदर,Andar,,64
आठवांतल,Aathvatal,y,64
एफ‚,"F,",,64
कृधा,Krudha,,64
क्षं,Area,y,64
गंज,Ganj,,64
जुुज,Juj,,64
तिलक,Tilak,,64
तुलसीवन,Tulsivan,,64
दुतीय,Dutiy,,64
धॉधूपुरा,Dhodhupura,y,64
पुल,Pul,y,64
बस्‍ती,Basti,,64
महुअर,Mahuar,,64
श्रेणी,Shreni,,64
सौप,Saup,,64
स्वीकृत,Svikrut,,64
आधे,Aadhe,,63
ई०डब्लू०एस,,y,63
ओल्ड,Old,,63
कितारकवा,Kitarkava,,63
किसी,Kisi,,63
क्रष्णा,Krashna,,63
गोविन्दा,Govinda,,63
ंनं,no,y,63
निरस्तीकरण,Nirastikaran,,63
ने,Ne,,63
पत्थर,Patthar,,63
पर्ल,Pearl,,63
पार्क‚,"Park,",,63
प्रशान्त,Prashant,,63
बसुआ,Basuaa,y,63
बिक्रय,Bikray,,63
भुजा,Bhuja,,63
माकन,house,,63
मेंं,Mre,y,63
मैसे,Maise,,63
विक्रेताओ,Vikretao,,63
शक्तिधाम,Shakti dham,,63
सविता,Savita,,63
साइट,Site,,63
स्टाम्प,Stamp,,63
अगवार,Agvar,,62
अरतौनी,Artauni,,62
खसरानम्बरान,Khasra no,y,62
खसा,Khasra no,,62
गुतिला,Gutila,,62
ट्रान्स,Trans,,62
ता,Ta,,62
द्वितीयचरण,Dvitiy charan,,62
नरसीबिहार,Narsi bihar,,62
नवनीत,Navneet,,62
नवमतल,Navmatal,,62
निकेतन,Niketan,,62
फ्रेण्डस,Friends,,62
राघेकृष्णा,Raghe krishna,,62
रामाकृष्णा,Rama krishna,,62
रिक्त,Rikt,,62
सहकारी,Sahkari,,62
ऐरो,aero,,61
कंचन,Kanchan,,61
पनवारी,Panvari,,61
बौद्ध,Buddha,y,61
भिन्न,Bhinn,,61
मध्यम,Madhyam,,61
महाराज,Maharaj,,61
समाज,Samaj,,61
सम्पर्ण,Samparn,,61
सहारा,Sahara,,61
सुनारी,Sunari,,61
हरेकृष्ण,Hare krishna,,61
अमित,Amit,,60
अागरा,Agra,,60
आर्चिड,Orchid,y,60
उर्फ,Urf,,60
कराहरा,Karahara,,60
के०के०,KK,y,60
गोल्ड,Gold,,60
न्,no,y,60
पडा,Pada,,60
प्लाटनं०,,y,60
फाटक,Fatak,y,60
भवन‚,"Bhavan,",y,60
भाग।,,y,60
भीकनपुर,Bhikanpur,,60
भूतल‚,Bhutal,,60
रास्ते,Raste,,60
वगम,square meter,,60
स्वामी,Swami,,60
आनन्दा,Ananda,,59
औरंगाबाद,Aurangabad,,59
चर्च,Church,,59
टी०पी०,,Y,59
तुलसीनगर,Tulsi nagar,,59
पडता,Padta,,59
पुष्पबिहार,Pushp bihar,,59
बन,Ban,,59
ब्रिज,Bridge,,59
रिक्‍त,Rikt,,59
वौहरे,Vauhare,,59
श्रीरामधाम,Shri ram dham,,59
अनाच्छादित,Anacchadit,y,58
आइ,I,,58
आनन्दनगर,Anand nagar,,58
ई‚,"E,",y,58
एल०जी०,,y,58
कर्मचारी,Karmchari,,58
काम्प्लेक्स,Complex,,58
कासम्पूर्ण,Kasampurn,,58
ग‚,"G,",y,58
गोपऊ,Gopau,,58
दिव्य,Divy,,58
दूरा,Dura,,58
दोकिता,Dokita,,58
फार्म,Farm,,58
फिफ्थ,5th,,58
फ्लोरेंस,Florence,,58
बर्ग,Burg,y,58
बा,Ba,,58
मि०रकवा,,y,58
मेंस्थित,located,y,58
लोधेनगर,Lodhe nagar,,58
वीर,Veer,,58
शान्तिकुंज,Shantikunj,,58
स्थान,Sthan,,58
्ग्रीन,,y,58
इन्क्लेव,Enclave,,57
कु,Ku,,57
के०,K,y,57
खुशी,Khushi,,57
गोल्फ,Golf,,57
चौक,Chauk,,57
टीनशेड,Teenshed,y,57
नानपुर,Nanpur,,57
बलभद्र,Balbhadra,,57
बृजवास,Brujvas,,57
मै,Mai,,57
मौज,Mauj,,57
वासुदेव,Vasudev,,57
साईट,Site,,57
आराजीखसरा,khasra,,56
इंफ्राटेक,Infra tech,,56
ओमेरियन,Omerian,,56
कृष्णानगर,Krishna nagar,,56
खसरान०,Khasra no,y,56
छरौरा,Charaura,,56
पार,Par,,56
प्राईड,Pride,,56
मकन,house,,56
रानी,Rani,,56
इन्फ्राटेक,Infra tech,,55
उजरई,Ujarai,y,55
एए,AA,,55
एएसवी,ASV,,55
क्लासिक,Classic,,55
चिराग,Chirag,,55
नवां,Nava,y,55
पदमा,Padma,,55
पम्प,Pump,,55
परस्पर,Paraspar,,55
प्याऊ,Pyau,,55
बाउण्ड्रीवाल,Boundary val,y,55
बेसमेण्ट,Basemet,,55
बैक्ुण्ठ,,y,55
मठ,Math,,55
माफी,Mafi,,55
मित्र,Mitra,,55
मुमटी,Mumti,,55
मैजेस्टिक,Majestic,,55
शहरी,Shahari,,55
सन,San,,55
है०कुल,Hectare,y,55
आर०के०,,y,54
केएचए,KHA,,54
केसरी,Kesari,,54
कॉम,Com,,54
गिरवरधाम,Girvar dham,,54
गोकुलपुरम,Gokulpuram,,54
जीएफ,GF,,54
दक्षिण्ी,,y,54
दिल्ली,Delhi,,54
द्वारिकाधाम,Dwarika dham,,54
नवम,Navam,,54
प०,,y,54
पांचवा,5th,y,54
बघेल,Baghel,,54
बास,Bas,,54
भूखण्ड‚खसरा,"Bhukhand, Khasra",y,54
भ्ूखण्ड,plot,y,54
मांट,Mant,y,54
राधाकृष्णा,Radha krishna,,54
राधागोविन्द,Radha Govind,,54
राधेकृष्णा,Radhe krishna,,54
वग्रमीप्लाट,square meter,,54
सिंटी,Cinty,y,54
सीलिग,Ceiling,y,54
सुशांत,Sushant,,54
सेमी,Semi,,54
है०‚,Hectare,y,54
अाराजी,registered,,53
क्षें,Area,y,53
ख०स०,Khasra no,y,53
गांरटी,Guarantee,,53
गैलाना,Gailana,,53
छै,Chai,,53
डीग,Dig,,53
दानपत्र,Danpatra,,53
न०नि०न०,no,y,53
प्रभू,Prabhu,,53
प्रिया,Priya,,53
बडी,Badi,,53
बसंत,Basant,,53
भ्ूमिमुक्ति,,Y,53
या,Ya,,53
योजना‚,"Yojna,",,53
व०मीटर,square meter,y,53
श्रीगणेशपुरम,Shri ganeshpuram,,53
सौसायटी,Society,,53
आस्था,Aastha,,52
एच०आई०जी०,,y,52
एच०आर०,,y,52
एन्‍कलेव,Enclave,,52
कदम्ब,Kadamb,,52
खली,empty,,52
खासपुर,Khaspur,,52
गैलेक्सी,Galaxy,,52
धुव,Dhuv,,52
परसोती,Parsoti,,52
पुख्‍ता,Pukhta,,52
पुष्पा,Pushpa,,52
रेजीडेन्सी‚,"Residency,",y,52
लॉर्ड,Lord,,52
व०मी,square meter,Y,52
वा,Va,,52
सभी,Sabhi,,52
सलोनी,Saloni,,52
सैन्टपोल्स,Saintpols,y,52
स्टोर,Store,,52
अन्तिम,Antim,,51
उ०,,y,51
एसएफ,SF,,51
एसपायर,,y,51
क्राउन,Crown,,51
डि०,,y,51
द०,,y,51
दि,The,y,51
दीन,Din,,51
नहर्रा,Nahrra,y,51
पातीराम,Patiram,,51
प्र,Pra,,51
बृजहाईवे,Bruj highway,,51
भाई,Bhai,,51
मंदिर,Mandir,,51
मौहल्‍ला,Mauhalla,,51
रमपुरा,Rampura,,51
रहेगी।,Rahegi.,y,51
लाजपत,Lajpat,,51
वग्रम,square meter,,51
वहिस्ताबाद,Vahistabad,,51
विस्वा,Visva,,51
संजीव,Sanjiv,,51
हिगौट,Higaut,,51
है०आदि,Hectare,y,51
है०मे,Hectare,y,51
ासरा,,y,51
कलौनी,Colony,,50
