word,translation,confusion,frequency,example
बृजबसुन्धरा,Brij basundhara,,1,बृजबसुन्धरा क ालौनी (आन्यौर)
बृजबिहार,Brij bihar,,1,बृजबिहार
बृजदीप,Brijdeep,,1,बृजदीप कॉलौनी
ब्रिजधाम,Brijdham,,2,ब्रिजधाम फेस 1
बृथला,Brithala,,1,बृथला
बृजधाम,Brujdham,,5,बृजधाम
बुद्वबिहार,Budba bihar,,1,बुद्वबिहार कालौनी
बौद्ध,Buddha,y,2,बौद्ध नगर
बुद्घा,Buddha,,1,नगला बुद्घा
बुद्धा,Buddha,,1,नगला बुद्धा
बजट,Budget ,,2,पुष्पांजलि होम्स बजट हाउस
बुढैरा,Budhaira,,1,बुढैरा
बुढान,Budhan,,1,नाला बुढान सैयद
बूढान,Budhan,,1,नाला बूढान सैयद
बुढाना,Budhana,,7,बुढाना
बुढेरा,Budhera,,1,बुढेरा
बूढी,Budhi,,2,नगला बूढी
बुद्व,Budva,,1,बुद्व बिहार क ालौनी
बिल्डिंग,Building,,3,नवज्याेति बिल्डिंग
बुझरियां,Bujhriya,,1,बुझरियां मेला वाली पोखर न्यू आबादी
बुजुर्ग,Bujurg,,3,बरिगबाँ बुजुर्ग
बुजर्ग,Bujurg ,,1,बसई बुजर्ग बांगर
बुखरारी,Bukhrari,,6,बुखरारी
बुलाकी,Bulaki,,10,नगला मीर बुलाकी
बुलाकपुर,Bulakpur,,2,बुलाकपुर
बुन्देला,Bundela,,2,नाला बुन्देला
बुंदेला,Bundela,,1,नाला बुंदेला
बुन्दू,Bundu ,,2,बुन्दू कटरा
बंगला,Bungalow ,y,1,डाकबंगला के पीछे न्यू कालोनी
बंगलॉज,Bungalows ,,1,निखिल पैराडाइज ⁄ बंगलॉज एण्ड फलोर्स
बुरहरा,Burhara,,12,"खानपुर, बुरहरा"
बुर्जा,Burja,,1,ललिता आश्रम से बुर्जा तेहरा रोड
बस,Bus,,17,"अखवाई, बसैया जोतराज"
बिसनीस,Business ,,1,सेन्टर्ल बिसनीस पार्क ब्लोक बी
बिजनिस,Business ,,1,सेन्टल बिजनिस पार्क
ब्यारा,Byara,,2,ब्यारा
ब्यौंही,Byaunhi,,11,"अनौड़ा, ब्यौंही"
बाईपास,Bypass,,5,उँटगिर बाईपास रोड पर कागारौल चौराहा बाईपास रोड से सर्वेश्र्वर चौराहे पर
सी,C,,27,अजीजपुर ( सिरोली मोड से आराधना गैस एजेन्सी तक)
सी⁄,C/,,1,यू पी एस आई डी सी⁄ डी आई सी द्वारा विकसित अन्य क्षेत्र
कॉसल,Castle,y,1,वाधवा रॉयल कॉसल
सीबीएसई,CBSE,,1,गाजीपुर से चौधरी रतीराम सीबीएसई स्कूल तक
सीमेन्ट,Cement,,1,सीमेन्ट पत्थर रोड
सीमेंन्ट,Cement,,1,सीमेंन्ट पत्थर रोड
सीमेन्‍ट,Cement ,,2,सराय सीमेन्‍ट पत्‍थ्‍ार रोड
सेन्टर,Center,,4,फ्रेन्डस ट्रेड सेन्टर
सेंन्टर,Center ,,1,फ्रेण्ड्स ट्रेड सेंन्टर
सेन्टर्ल,Central,y,1,सेन्टर्ल बिसनीस पार्क ब्लोक बी
सेन्टल,Central ,y,1,सेन्टल बिजनिस पार्क
छ,Ch,,3,अछनेरा
चबूतरा,Chabutara,,2,तुलसी चबूतरा
चबुतरा,Chabutara,,1,तुलसी चबुतरा
चाचोंद,Chachond,,1,चाचोंद
छड,Chad,,1,"खेडि़या, छड़गांव, छड़गांव, छड़गांव, छड़गांव"
छड़गांव,Chadhgaon,,11,"खेडि़या, छड़गांव, छड़गांव, छड़गांव, छड़गांव"
चादनी,Chadni,,1,गढ़ी चादनी
छगनपुरा,Chaganpura,,1,छगनपुरा
चाह,Chah,,4,"कागारौल, बेरी चाहर"
चाहर,Chahar,,24,"कागारौल, बेरी चाहर"
छै,Chai,,5,छै पोखर
चै,Chai,,1,चैतन्य बिहार अन्य फेस
चैना,Chaina,,3,चैना थोक आंशिक
चाईन्दा,Chainada,y,1,दीवान जी का चाईन्दा
चाईन्दारा,Chaindara,y,1,दीवानजी का चाईन्दारा
चैनपुर,Chainpur,,2,शाहपुर चैनपुर
चेयरमैन,Chairman,,1,"गंज पुलिस थाना मुन्नालाल चेयरमैन,मवेशी गली"
चैतन्य,Chaitanya,,3,चैतन्य बिहार अन्य फेस
चैतन्‍य,Chaitanya ,,2,चैतन्‍यबिहार कालौनी २
चैतन्‍यबिहार,Chaitanya bihar,,1,चैतन्‍यबिहार कालौनी २
छज्जन,Chajjan,,2,छज्जन वाली गली बैक कालौनी का सम्पूर्ण क्षेत्र परपटकुण्ड
छाजू,Chaju,,3,छाजू
चक,Chak,,14,उडान चक नादऊ नरायच
चक्की,Chakki,,1,चक्कीपाट
चक्कीपाट,Chakkipat,,2,चक्कीपाट
चकला,Chakla,,2,सदर चकला स्ट्रीट
चकलेश्वर,Chakleshravar,y,1,चकलेश्वर
चकसामन्त,Chaksamant,,1,चकसामन्त
चकसावन्त,Chaksavant,,1,चकसावन्त
छलेसर,Chalesar,,2,छलेसर
चकलेश्र्वर,Chalshravar,y,2,मवेशी खाने से चकलेश्र्वर मन्दिर होकर दसबिसा रोड तक
छम,Cham,,4,छम छम गली
चमरगढी,Chamargadhi,,1,चमरगढी
चमरगढ़ी,Chamargadhi,,1,चमरगढ़ी खादर
चमरौआ,Chamrauaa,y,1,चमरौआ
चमरौला,Chamraula,,3,चमरौला
चमरौली,Chamrauli,,7,चमरौली
चामुण्डा,Chamunda,,4,चामुण्डा कालौनी
चामुण्‍डा,Chamunda,,1,चामुण्‍डा कालौनी
चंचल,Chanchal,,1,चंचल नगर
चांचौंद,Chanchaund,y,4,"गुंगावद, चांचौंद"
चन्द,Chand,,4,"अरदाया, गढी चन्द्रमन"
चांद,Chand,,2,खटीक टूला चांदनी चौक
चाँद,Chand,,1,चाँद विहार कॉलौनी
चंद,Chand,,1,गली चंदा पान वाली
चन्दा,Chanda,,2,गली चन्दा पान गली
चंदा,Chanda,,1,गली चंदा पान वाली
चन्दापार्टी,Chanda party ,,1,चन्दापार्टी 1
चन्दन,Chandan,,2,चन्दन नगर
चांदनी,Chandani,,2,खटीक टूला चांदनी चौक
चन्दनवन,Chandanvan,,2,चन्दनवन कालाैनी
चनदरावलि,Chandaravali,,1,मां चनदरावलि सटेट
चंदौरी,Chandauri,,1,चंदौरी
चन्दभान,Chandbhan,,1,नगला चन्दभान
चाँड़ी,Chandi,y,3,चाँड़ी
चाँडी,Chandi,,1,चाँडी
चन्दोरी,Chandori,,6,चन्दोरी
चांदपुर,Chandpur,,7,चांदपुर कलां
चन्द्र,Chandra,,1,"अरदाया, गढी चन्द्रमन"
चन्द्रानगर,Chandra nagar,,1,चन्द्रानगर
चन्द्रभान,Chandrabhan,,4,नगला चन्द्रभान
चन्द्रा,Chandral,,3,चन्द्रानगर
चन्द्रलोक,Chandralok,,3,चन्द्रलोक कालौनी
चन्द्रमन,Chandraman,,7,"अरदाया, गढी चन्द्रमन"
चन्द्रमुखी,Chandramukhi,,1,चन्द्रमुखी अपार्टमेंट
चन्द्रपुर,Chandrapur,,1,चन्द्रपुर
चन्द्रपुरी,Chandrapuri,,1,चन्द्रपुरी
चन्द्रसैन्,Chandrasain,y,3,रामपुर चन्द्रसैन्
चन्द्रसौरा,Chandrasaura,,5,"उदैना, चन्द्रसौरा"
चंद्रावलि,Chandravali,,2,मां चंद्रावलि फेस - 3
चन्द्रोदय,Chandroday,,1,आर0एस0एच0डी0 चन्द्रोदय सिटी चौमुहा
चन्दसौंरा,Chandsonra,y,1,चन्दसौंरा
चन्दसोरा,Chandsora,,1,चन्दसोरा
चाँगौली,Changauli,,1,चाँगौली
चंक,Chank,,1,सराय मलूक चंद चंक पंचम
चाणक्य,Chankya,,1,चाणक्यपुरी
चाणक्यपुरी,Chankyapuri,,1,चाणक्यपुरी
छपैटी,Chapaiti,,1,छपैटी
छ्पेटी,Chapeti,,1,छ्पेटी
चार,Char,,17,आचार्य नगर
चरण,Charan,,6,टेकमेन सिटी कॉलोनी प्रथम चरण
चरन,Charan,,2,बाडा चरन सिंह
चारसू,Charasu,,2,चारसू दरवाजा
छरौंरा,Charaunra,,1,छरौंरा
छरौरा,Charaura,,3,अलवर पुल से छरौरा ग्राम की प्रारम्भिक सीमा तक
चारबाग,Charbag,,1,चारबाग
चरीथा,Charitha,,3,चरीथा
चारूल,Charul ,,2,चारूल इन्कलेव
छाता,Chata,,23,छाता
छटीकरा,Chatikara,,5,छटीकरा
छटीेकरा,Chatikara,,1,छटीकरा चौराहे से वृन्दावन रोड पर छटीेकरा की सीमान्त पर
छत्री,Chatri,,1,रतनछत्री
चटसाल,Chatsal,,1,चटसाल
छत्ता,Chatta,,4,छत्ता धाट
छत्तापुरा,Chattapura,,3,छत्तापुरा
चतुर्भुजी,Chaturbhuji,,1,चतुर्भुजी
चतुर्थ,Chaturth,,2,पुष्पाजलि पुरम चतुर्थ
छऊआ,Chauaa,y,1,नगला छऊआ
चौबच्चा,Chaubaccha,,2,चौबच्चा मौहल्ला
चौबदारान,Chaubdaran,,2,चौबदारान गली
चौडरस,Chaudaras,,6,"चौकी वांगर, चौडरस बांगर"
चौडे,Chaude,,1,चमरौली (ए.डी.ए. निर्मित 100 फीट से कम चौडे मार्ग पर)
चौधरी,Chaudhari,,3,गाजीपुर से चौधरी रतीराम सीबीएसई स्कूल तक
चौधरपाडा,Chaudharpada,,1,चौधरपाडा
चौगान,Chaugan,,1,चौगान
चौहान,Chauhan,,1,चौहान रोड
चौहरी,Chauhari,,1,चौहरी
चौहटना,Chauhatna,,1,चौहटना
चौक्,Chauk,y,1,चौक् कागजियान
चौक,Chauk,,19,इस्क ान पुलिस चौकी चौराहे से पी एल स
चाैक,Chauk,,1,खरौट द्वार⁄भरतमिलाप चाैक
चौकड़ा,Chaukada,,3,चौकड़ा
चौकडा,Chaukada,,1,चौकडा
चौकी,Chauki,,24,इस्क ान पुलिस चौकी चौराहे से पी एल स
चौकीपुर,Chaukipur,,2,चौकीपुर कलां
छौली,Chauli,,7,"अवैरनी, छौली, बन्दी"
चौमा,Chauma,,8,"अरसैना, चौमाफरह"
चौमाफरह,Chaumafarah,,2,"अरसैना, चौमाफरह"
चौमाशाहपुर,Chaumashahpur,,1,चौमाशाहपुर
चौमुहाँ,Chaumuha,y,7,चौमुहाँ
चौमुहा,Chaumuha,,7,आर0एस0एच0डी0 चन्द्रोदय सिटी चौमुहा
छौंका,Chaunka,,2,छौंका पाडा
चौंसिंगी,Chaunsingi,,1,चौंसिंगी
चौर,Chaur,,2,अटल्लाचुंगी से विद्यापीठ चौराहे तक
चौराह,Chaurah,,2,अटल्लाचुंगी से विद्यापीठ चौराहे तक
चौराहा,Chauraha,,8,उँटगिर बाईपास रोड पर कागारौल चौराहा बाईपास रोड से सर्वेश्र्वर चौराहे पर
चौराहे,Chaurahe,,81,अटल्लाचुंगी से विद्यापीठ चौराहे तक
चौराहै,Chaurahe,,1,क्वालिटी तिराहे से संग्राहलय चौराहै तक
चौरहे,Chaurahe,,1,मसानी चौरहे से आक ाशवाणी तक
चौरंगा,Chauranga,,1,चौरंगा वेहड़
चौरंगाहार,Chaurangahar,,3,चौरंगाहार
चौथाई,Chauthaee,y,1,मौ0 चौथाई
चौथईया,Chauthaiya,y,1,चौथईया
चौवे,Chauve,,1,मिल्क कृष्णा चौवे
चावली,Chavli,,3,चावली
छावनी,Chavni,,3,पुरानी छावनी सदर
छाया,Chaya,,2,गिर्राजछाया
चीत,Cheet,,14,"कागारौल, चीत"
छीतापुरा,Cheetapura,,16,छीतापुरा न0 बीरई
चीतपुर,Cheetpur,,11,"कागारौल, चीतपुर"
चेकोरा,Chekora,,13,चेकोरा
चेतकपुर,Chetakpur,,1,चेतकपुर
चेतकपुरम,Chetakpuram,,1,चेतकपुरम
चेतन,Chetan,,1,चेतन नगर कॉलोनी
चेतराम,Chetram,,1,चेतराम बरसाना वाली गली के दाेनो साइड
छिददा,chidda,,2,नगला छिददा
छिददी,Chiddi,,2,बठैन गेट के उत्तरी भाग से छिददी की दुक ान के सामने क ा एरिया
चिडीमार,Chidimar,,2,चिडीमार टोला
छिकाड़ा,Chikada,,10,छिकाड़ा
चीकनीपुरा,Chiknipura,,1,चीकनीपुरा
चिकसौली,Chiksauli,,6,चिकसौली
चीलगढ,Chilgadh,,1,चीलगढ
छिली,Chili,,1,छिली ईट रोड
छिल्ली,Chilli,,1,छिल्ली ईट रोड
चिल्लीपाड़ा,Chillipada,,2,चिल्लीपाड़ा
चिण्डौली,Chindauli,,1,चिण्डौली
छिंगा,Chinga,,3,नगला छिंगा
छिनगईआ,Chingaiaa,y,1,छिनगईआ सहजुआ
छिनगईयां,Chingaiaa,y,1,छिनगईयां सहजुआ
छिनपारई,Chinparaee,y,8,छिनपारई खादर
चिन्तागढी,Chintagadhi,,1,चिन्तागढी
चिंत्रांश,Chintransh,,1,चिंत्रांश कुंज
छीपी,Chipi,,1,चक्कीपाट ( बिजली घर बस स्टेण्ड से छीपीटोला सांई की तकिया चौराहे तक)
छीपीगली,Chipigali,,1,छीपीगली
छीपीटोला,Chipitola,,13,चक्कीपाट ( बिजली घर बस स्टेण्ड से छीपीटोला सांई की तकिया चौराहे तक)
चिरंजी,Chiranji,,1,नगला चिरंजी
चिरहौली,Chirhauli,,1,चिरहौली
चितौरा,Chitaura,,3,चितौरा
चित्राहाट,Chitrahat,,1,चित्राहाट
चित्रकुट,Chitrakut,,1,चित्रकुट धाम फेस 1 व 2
चित्रांश,Chitransh,,1,चित्रांश कुंज
छीत्तापुरा,Chittapura,,1,छीत्तापुरा न0बीरई
चित्ती,Chitti,,2,चित्ती खाना
छिवरऊ,Chivarau,y,6,छिवरऊ (अ.टा.ए.)
छोडकर,Chodkar,,9,एनएच2 से रेलवे लाइन के मध्य क्षेत्र एनएच2 छोडकर
चोकीपुर,Chokipur,,1,चोकीपुर खुर्द
चूना,Choona,,2,चूना कंकउ
चूराहंसी,Choorahansi,,2,चूराहंसी
चोराहे,Chorahe,,3,एन एच 2 इ ब्लाक चोराहे से ग्या के मकान तक
छोटी,Choti,,3,छोटी अथाई
छोटू,Chotu,,1,छोटू की गली और रेलवे लाइन एरिया
चूहरपुर,Chuharpur,,3,चूहरपुर
चूहरा,Chuhra,,1,चूहरा
चूने,Chune,,1,चूने के भटटे
चुंगी,Chungi,,11,अटल्ला चुंगी से पागल बाबा मंदिर तक
चुन्नी,Chunni,,1,सराय चुन्नीलाल
चुन्नीलाल,Chunnilal,,1,सराय चुन्नीलाल
चूनपचान,Chunpachan,,2,नाला चूनपचान
चुरियारी,Churiyari,,2,चुरियारी
चुरमुरा,Churmura,,1,चुरमुरा
सिनेमा,Cinema,,1,कृष्णा सिनेमा मुहल्ला
सिनप्लैक्स,Cineplex,y,1,टैक्सनशीला माल एण्ड सिनप्लैक्स
सिंटी,Cinty,,4,आर०एस०एच० इन्फ् हाइटस द्वारिका सिंटी
सिटी,City,,102,अनुपम सिटी
सिटी⁄एक्सटेशन,City/Extension,,1,मारूती सिटी⁄एक्सटेशन
सिविल,Civil,,5,ढाकरान सिविल लाईन
क्लासिक,Classic ,,1,गपपति क्लासिक
क्लवाउड्स,clavauds,y,1,पुष्पांजली क्लवाउड्स वैली
क्लब,Club,,1,पुलिस लाइन पेट्रोल पम्प से रायफल क्लब तक
कलेक्ट्रेट,Collectrate,y,2,कलेक्ट्रेट कॉलोनी
कलेक्ट्री,collectry,y,7,ढाकरान (नालबन्द चौराहे से कलेक्ट्री तक)
कलैक्ट्री,Collectry,y,1,कलैक्ट्री रोड ( सदर भटटी चौराहे से कलेक्ट्रेट तक)
कालेज,College,,1,देवरी रोड पर वी एन सर्राफ इण्टर कालेज से जगनेर की सीमा तक
कालौनी,Colony,y,212,अग्रसैन नगर कालौनी
कालोनी,Colony,y,92,अग्रवाल कालोनी
कॉलोनी,Colony,,115,"अग्रवाल धर्मशाला,वर्मा कॉलोनी"
कॉलौनी,Colony,,34,इन्द्रा कॉलौनी
कालाैनी,Colony,,7,आर के पुरम कालाैनी
कोलोनी,Colony,,3,नसीराबाद कोलोनी
कालाेनी,Colony,,2,कृष्णा कालाेनी
काॅलौनी,Colony,,2,जनता काॅलौनी
कलोनी,Colony,,2,प्रोफेसर कलोनी कमला नगर
कालेनी,Colony,,1,अजन्ता कालेनी
कार्लानी,Colony,,1,चैतन्य बिहार आवासीय कार्लानी फैस प्रथ्
कोलोनि,Colony,,1,नोर्थ विजय नगर कोलोनि नई
कोलोन्य,Colony,,1,नोर्थ विजय नगर कोलोन्य
कालैानी,Colony,,1,न्यू कालैानी
कलौनी,Colony,,1,न्यू अग्रवाल कलौनी⁄अग्रवाल कालौनी
कौलौनी,Colony,,1,राम नगर कौलौनी
कॉलाेनी,Colony,,1,सीताराम कॉलाेनी
काँलौनी,Colony ,,1,बलकेशवर काँलौनी
कॉलोनी‚न्यू,"Colony, new",y,1,प्रेमचन्द्र न्यू कॉलोनी‚न्यू आबादी वाली कॉलोनी
कालौनी⁄,Colony/,,1,सुभाष कालौनी⁄ सुभाष नगर
कलौनी⁄अग्रवाल,Colony/Agrawal,,1,न्यू अग्रवाल कलौनी⁄अग्रवाल कालौनी
कॉम,Com,,2,एम0आर0 कॉम्पलैक्स (भूतेश्र्वर)
कमाण्डर,Commander ,,2,कमाण्डर कालोनी
कम्पनी,Company,,1,बरसाना चौराहे से भोलेबाबा फूड कम्पनी तक एनएच2 पर सडक के दोनो ओर
कॉम्पलैक्स,Complex,,15,एम0आर0 कॉम्पलैक्स (भूतेश्र्वर)
काम्पलेक्स,Complex,,14,उपाध्याय काम्पलेक्स
काम्प्लेक्स,Complex,,11,अन्ना आइकॉन काम्प्लेक्स
कॉम्पलेक्स,Complex,,4,नवज्योति कॉम्पलेक्स
काम्‍पलैक्‍स,Complex,,1,बांगडी काम्‍पलैक्‍स
काम्पलैक्स,Complex ,,16,एलोरा काम्पलैक्स
कोन,Con,y,1,इकोन ग्रीन
काेन,Con,,1,अाई काेन इन्कलेव
काटेज,Cottage,,1,रश्मि काटेज काम्पलेक्स
कार्टेज,Cottage ,y,1,पुष्‍पाजलिं वृन्‍दा कार्टेज
काउन,Coun,y,1,गणपति किंग्स काउन्टी
काउन्टी,County,,2,गणपति किंग्स काउन्टी
कोर्टयार्ड,Courtyard ,,1,अंसल कोर्टयार्ड जे पी नगर
क्रिकेट,Cricket,,1,क्रिकेट मौहल्ला
क्रासिंग,Crossing,y,6,जन्मभूमि क्रासिंग से पोतराकुण्ड चौराहे तक
क्रॉसिंग,Crossing,,4,टेंक चोराहे से रेलवे क्रॉसिंग मछली फ ाटक
क्रासिेग,Crossing,,1,आर्यसमाज क्रासिेग से जी0आई0सी तक
क्रासिग,Crossing ,,1,पोतरा कुण्ड से दिल्ली रेलवे लाइन क्रासिग तक
क्रिस्टल,Crystal ,,2,क्रिस्टल सिटी
ड़,D,y,3,"अकौस बांगर, अकौस बांगर, हतौड़ा"
डी,D,,32,अडीग
द,D,,1,अकौस खादर
डा,Da,,3,"अटा, सरैंडा"
डबरई,Dabaraee,y,6,डबरई
डभाला,Dabhala,,7,डभाला
डाबर,Dabur,,1,डाबर
डाडा,Dada,,1,डाडा
डाढ़की,Dadhki,,13,"छत्तापुरा, डाढ़की"
डडीसरा,Dadisara,,3,डडीसरा
डाडकी,Dadki,,1,डाडकी
डाडरा,Dadra,,1,डाडरा
डडूकरा,Dadukara,,5,डडूकरा
दादूपुरा,Dadupura,,1,दादूपुरा
डागौली,Dagauli,,2,डागौली खादर
दघेटा,Dagheta,,6,दघेटा
डगरूपुरा,Dagrupura,,1,डगरूपुरा
ड़हेरा,Dahera,,1,मु ड़हेरा
दहगांव,Dahgaon,y,11,"कामर, कामर, दहगांव, कामर"
दहगवाँ,Dahgava,y,10,दहगवाँ
दहगवां,Dahgavan,y,1,दहगवां
डाहरौली,Dahroli,,6,डाहरौली
डहरुआ,Dahruaa,,1,डहरुआ
डहरूआ,Dahruaa,,1,डहरूआ
दहतोरा,Dahtora ,,1,दहतोरा
दाइरुपा,Dairupa,y,1,सराय दाइरुपा
डाक,Dak,,2,डाकबंगला के पीछे न्यू कालोनी
डाकबंगला,Dak bungalow ,y,1,डाकबंगला के पीछे न्यू कालोनी
दक्षिणी,Dakshini,,2,भूरा अंश ज्ञान (दक्षिणी )
दाल,Dal,,2,नया जीटीरोड रेलवे पुल से दालमिल/पेट्रोल पम्प के सामने बस स्टेण्ड रोड तक
दलौता,Dalauta,,9,"कोसीकलां, दलौता"
दलेल,Dalel,,1,नगला दलेल
दलिहाई,Dalihaee,y,1,दलिहाई
दालमिल/पेट्रोल,Dalmil/Petrol,,1,नया जीटीरोड रेलवे पुल से दालमिल/पेट्रोल पम्प के सामने बस स्टेण्ड रोड तक
दलपत,Dalpat,,2,दलपत खिडकी
डालू,Dalu,,1,डालू गली
दामोदर,Damodar,,3,दामोदर गली
दामोदरपुरम,Damodar puram,,1,दामोदरपुरम
दामोदरपुरा,Damodarpura,,3,दामोदरपुरा
डैम्पीयर,Dampier,y,5,डैम्पीयर नगर
दान,Dan,,2,दान घाटी
डाँडा,Danda,y,10,"घुसियाना, डाँडा"
डांडा,Danda,,1,खैरडांडा
डांडरा,Dandara,,1,डांडरा
डांगौली,Dangauli,,3,"जहांगीरपुर बांगर, जहांगीरपुर खादर, डांगौली खादर"
दानी,Dani,,2,नगला दानी
दनकशा,Dankasha,,1,दनकशा
दन्ता,Danta,,1,इकदन्ता
दाऊद,Daood,y,1,"उत्तू, दाऊदपुर"
दाऊधाम,Daoodham,y,1,दाऊधाम छौली
दरबार,Darbar,,3,दरबार शाहजी
दरे,Dare,,2,दरेसी खोजी
दरेसी,Daresi,,12,दरेसी खोजी
दरियाब,Dariyab,,4,गढ़ी दरियाब
दर्जी,Darji,,1,दर्जीपाडा
दर्जीपाडा,Darjipada,,1,दर्जीपाडा
दरवाजा,Darvaja,,27,गोर्वधन दरवाजा
दारवती,Darvati,,1,दारवती कालौनी
दस,Das,,10,"कोसीकलां, गुहेता दस विसा"
दास,Das,,3,कटरा जोगीदास
दसबिसा,Dasbisa,,2,डीग रोड(बिजली घर) से बागडी प्याऊ तक( दसबिसा रोड)
दशावतार,Dashavatar,,2,दशावतार गली
दतिया,Datiya,,1,दतिया
दत्त,Datt,,1,गली शिवदत्त
दाऊदपुर,daudpur,y,7,"उत्तू, दाऊदपुर"
दाऊजी,Dauji,y,5,दाऊजी एन्कलेव
दाउजी,Dauji,,3,दाउजी इन्क्लेव
दाऊजीधाम,Daujidham,y,1,दाऊजीधाम
दाऊजीवाली,Daujivali,y,1,दाऊजीवाली गली
डौकी,Dauki,,3,डौकी
दौलत,Daulat,,1,"अछनेरा, दौलतावाद, नयावास"
दौलतावाद,Daulatavad,,6,"अछनेरा, दौलतावाद, नयावास"
दौलतपुर,Daulatpur,,29,आर के पुरम क ालौनी (दौलतपुर फरह
दौनेरिया,Dauneriya,,1,दौनेरिया अपार्टमेंट
दौरेठा,Dauretha,,1,दौरेठा
दौताना,Dautana,,7,दौताना
डावर,Davar,,8,"खेडा जाट, डावर"
डावली,Davli,,12,"अभुआपुरा T.A.बाहर, डावली, अभुआपुरा T.A.बाहर"
दया,Daya,,4,गली गंगादयाल
दयाधाम,Dayadham,,1,दयाधाम अपार्टमेंट
दयाल,Dayal ,,8,गली गंगादयाल
दयालबाग,Dayal bag,,1,दयालबाग
दयालनगर,Dayal nagar,,1,दयालनगर
दयालग्रीन,Dayalagrin,,1,दयालग्रीन
दयानन्द,Dayanand,,3,दयानन्द नगर
दयानंद,Dayanand,,2,दयानंद नगर
दयौरेठा,Dayauretha,,3,दयौरेठा
डायविल,Daywill,y,2,डायविल नगर
द्धारिका,Ddharika,y,1,द्धारिकाधीशधाम
देदना,Dedna,,4,देदना खादर
दी,Dee,y,1,अमरदीप
डीम,Deem,,3,अंगूरी डीम⁄अंगूरी विला
दीन,Deen,,2,"कुरावली, मुईउद्दीनपुर"
दीनदयाल,Deendayal,,1,दीनदयाल धाम
दीनपुरा,Deenpura,,1,दीनपुरा
दीप,Deep,,6,अमरदीप
दीपाजंलि,Deepajanli,y,2,दीपाजंलि कालौनी
दीपिका,Deepika,,1,दीपिका बिहार
दीपश्री,Deepshree,,2,दीपश्री एन्कलेव
दीप्ती,Deepti,,1,दीप्ती पुरम
दीवान,Deewan,,3,दीवान जी का चाईन्दा
दीवाना,Deewana,,1,दीवाना
दीवानजी,Deewanji,,1,दीवानजी का चाईन्दारा
डिफेन्स,Defense,,7,डिफेन्स कालोनी
डिफेंस,Defense,,3,डिफेंस कालोनी
देह,Deh,,2,अछनेरा (देहात)
देहात,Dehat,,9,अछनेरा (देहात)
देहली,Dehli,,1,देहली गेट
दिल्ली,Delhi,,6,दिल्ली गेट
डेरा,Dera,,1,डेरासरस
डेरक,Derak,,3,डेरक
डेरासरस,Derasaras,,1,डेरासरस
देशलान,Deshlan,,1,देशलान
डिजायर,Desire,,1,ए सी आर डिजायर
देव,Dev,,8,केशव देव कटरा
देवनगर,Dev nagar,,3,देवनगर
देवधाम,Devdham,,2,देवधाम कालौनी
डवलपर्स,Developers,,1,रघुनन्दन डवलपर्स अजीजपुर
देवी,Devi,,10,कैला देवी एनकलेव
देवीदास,Devidas,,1,खेड़ा देवीदास
देवीपुरम,Devipuram,,1,देवीपुरम
देवजीत,Devjeet,,1,नगला देवजीत
देवकी,Devki,,2,देवकी इन्क्लेव /देवकी धाम कॉलोनी
देवलोकपुरी,Devlokpuri,,2,देवलोकपुरी
देवपुरा,Devpura,,3,देवपुरा
देवराज,Devraj,,2,देवराज इन्कलेव
देवरी,Devri,,13,कौलक्खा (आगरा देवरी रोड)
देवसेरस,Devseras,,1,देवसेरस
देवस्थान,Devsthan,,1,न्यू नगला उदैया रोड निरंजन की धर्मशाला तिराहे से न0 उदैया रोड पीपल के बटवृक्ष देवस्थान तक
देवतापाडा,Devtapada,,1,देवतापाडा
ढकपुरा,Dhakpura,,1,ढकपुरा
ढाकरान,Dhakran,,9,कटरा नील (ढाकरान चौराहे से नाई की तिराहे तक हल्का मदन कटरा नील बाजार)
धाकरान,Dhakran,,2,धाकरान एन्कलेव
धाकरे,Dhakre,,1,धाकरे एन्कलेव
ढकू,Dhaku,,1,ढकू
धाम,Dham,,125,अंजनीधाम कालौनी
धमौटा,Dhamauta,,3,धमौटा
धमसीगा,Dhamseega,,11,"खरौट, खरौट, धमसीगा"
धमसींगा,Dhamsinga,,1,धमसींगा मार्ग पर विक ासशील नई आबादी
धन,Dhan,,1,"अछनेरा (देहात), धनोली"
धाना,Dhana,,12,धानाखेमा
धानाजीवना,Dhanajeevana,,1,धानाजीवना
धानाखेमा,Dhanakhema,,2,धानाखेमा
धनौला,Dhanaula,,4,धनौला कलॉ
धनौली,Dhanauli,,1,धनौली
धानौता,Dhanauta,,13,धानौता खादर
धानौतिया,Dhanautiya,,1,कमल धानौतिया की गली
धानावीरान,Dhanaveeran,,1,धानावीरान
धांधूपुरा,Dhandhupura,,3,धांधूपुरा राजस्व ग्राम
धनीना,Dhaneena,,7,धनीना
धनगांव,Dhangaon,,1,धनगांव
धनगाँव,Dhangaon,,1,धनगाँव
धनी,Dhani,,1,धनीना
धानी,Dhani,,1,नागला धानी
धनियाँपुरा,Dhaniyapura,,1,धनियाँपुरा
धनकर,Dhankar,,1,सलेमपुर धनकर
धनकोट,Dhankot,,1,धनकोट
धनोली,Dhanoli,,19,"अछनेरा (देहात), धनोली"
धनुआ,Dhanuaa,y,4,नगला धनुआ
धरैरा,Dharaira,,5,धरैरा
धर्म,Dharm,,8,"अग्रवाल धर्मशाला,वर्मा कॉलोनी"
